% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 21.46    0.278699          87      3190       399 newfstatat
 10.34    0.134293          81      1646           fstat
 10.31    0.133854          86      1539           read
  9.85    0.127879          81      1566         3 lseek
  9.18    0.119256         104      1139           write
  7.45    0.096782          55      1748           mmap
  6.83    0.088685          56      1581           munmap
  6.36    0.082604          87       946         9 openat
  6.12    0.079418          84       941           close
  5.01    0.065053          82       786       777 ioctl
  1.53    0.019861          89       222           getdents64
  1.32    0.017177         106       162           getpid
  0.60    0.007733          97        79           rt_sigaction
  0.59    0.007679          85        90           brk
  0.54    0.006997         112        62         1 epoll_wait
  0.40    0.005252          80        65           epoll_ctl
  0.34    0.004373         150        29           sendto
  0.31    0.004058          78        52           getrandom
  0.26    0.003384          91        37           getcwd
  0.23    0.002965         102        29           recvfrom
  0.18    0.002391          82        29           fcntl
  0.17    0.002178          58        37           futex
  0.13    0.001675          50        33           mprotect
  0.06    0.000740          82         9         6 readlink
  0.03    0.000408         204         2           execve
  0.03    0.000382         127         3           socket
  0.03    0.000373          74         5           getsockname
  0.03    0.000361         120         3           uname
  0.03    0.000330         165         2           shutdown
  0.02    0.000315          63         5           statx
  0.02    0.000300         150         2           bind
  0.02    0.000281         140         2           gettid
  0.02    0.000248         124         2           prlimit64
  0.02    0.000240         120         2           unlink
  0.02    0.000235         117         2           pipe2
  0.02    0.000231         231         1           mremap
  0.01    0.000188          94         2         1 accept4
  0.01    0.000162         162         1           getegid
  0.01    0.000113         113         1           chmod
  0.01    0.000109         109         1           connect
  0.01    0.000106          53         2           set_tid_address
  0.01    0.000102          25         4           pread64
  0.01    0.000102         102         1           chdir
  0.01    0.000100         100         1         1 rt_sigreturn
  0.01    0.000099          49         2           getuid
  0.01    0.000095          47         2           epoll_create1
  0.01    0.000089          44         2           geteuid
  0.01    0.000076          76         1           listen
  0.01    0.000076          76         1           setsockopt
  0.01    0.000074          74         1           kill
  0.01    0.000072          72         1           sched_getaffinity
  0.00    0.000046          46         1           getgid
  0.00    0.000045          45         1           getppid
  0.00    0.000045          22         2           set_robust_list
  0.00    0.000045          22         2           rseq
  0.00    0.000044          22         2         2 access
  0.00    0.000038          19         2           arch_prctl
------ ----------- ----------- --------- --------- ------------------
100.00    1.298516          80     16081      1199 total
